filename,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
Ondorhaan 10 [cough only].wav,breath,-334.8291320800781,88.93980407714844,-16.638355255126953,21.865646362304688,6.7540130615234375,7.354527950286865,4.93742561340332,-6.069179058074951,-12.20966911315918,9.92674446105957,-11.77536678314209,1.4682624340057373,0.6537876129150391,0.4235896468162536,0.4066828787326813,0.5729551315307617,0.547114372253418,0.541155993938446,0.5083063244819641,0.527729332447052,0.5089560151100159,0.4453020095825195,0.4547800719738006,0.4394924342632293,0.437874972820282,14.059137548931044,9.510012610029309,12.395215442328006,13.812070512854344,18.306424016262927,18.15078657104161
Ondorhaan 4 [cough only].wav,breath,-385.4035034179688,97.736328125,-18.62306404113769,15.691157341003418,13.816678047180176,3.8267009258270255,6.5467400550842285,3.133937358856201,-3.051533460617065,3.60529899597168,-6.841166496276856,8.031290054321289,3.991087675094605,0.4521742761135101,0.4475072026252746,0.4570201337337494,0.5762685537338257,0.5269023776054382,0.5418961644172668,0.5469287633895874,0.5581019520759583,0.5826913714408875,0.5565603971481323,0.582643985748291,0.6297935843467712,13.44436814919041,8.784150322113938,10.915793045028291,12.792246586832997,17.138300824282876,17.769015481825075
New Recording 6 [cough only].wav,breath,-642.824462890625,74.90943908691406,25.109832763671875,18.92075538635254,4.139727115631104,3.3913168907165527,-2.1297500133514404,-4.583427906036377,-0.2949451804161072,-2.8913981914520264,-0.9314555525779724,5.221028804779053,4.563868045806885,0.4063231647014618,0.4464755952358246,0.4513339102268219,0.4663852155208587,0.4537196457386017,0.4214146435260772,0.4587794244289398,0.5679624080657959,0.4860938489437103,0.4206773936748504,0.3651315569877624,0.3611513078212738,9.843285895778546,10.155225082986028,11.98516902162787,16.68028970561944,18.03837368976372,16.709153821495494
Ondorhaan 2 [cough only].wav,breath,-320.7536926269531,91.99252319335938,-30.189054489135746,15.917865753173828,5.345575332641602,4.344419002532959,-3.4964635372161865,-13.12803554534912,-13.309617042541504,-2.269237518310547,-9.451064109802246,9.709098815917969,-0.2089901715517044,0.4131912589073181,0.4529792666435241,0.4887517392635345,0.4675471186637878,0.433022528886795,0.4158512651920318,0.4532411098480224,0.4492938816547394,0.5018010139465332,0.5252943634986877,0.516753613948822,0.434915542602539,16.307649261186548,9.243075295438164,13.0447081293829,14.649226500186238,17.092573469698355,20.894071276286358
New Recording 12 [cough only].wav,breath,-605.8976440429688,83.09252166748047,-0.1450404822826385,13.815871238708496,-10.048964500427246,7.429429054260254,2.651700258255005,-0.5296207070350647,-2.227149248123169,1.7654107809066772,2.8883190155029297,-0.0260015111416578,3.378828525543213,0.5173704624176025,0.5289893746376038,0.5207740068435669,0.5330792665481567,0.5313340425491333,0.5290163159370422,0.5101417303085327,0.4645434916019439,0.4209006428718567,0.4279842674732208,0.4627596735954284,0.5126288533210754,11.121784275593598,9.411851251869258,11.393236907632346,14.03143302452479,17.437254759073106,16.226561310616262
New Recording 7 [cough only].wav,breath,-645.3264770507812,73.2760238647461,20.483583450317383,19.351673126220703,5.639673233032227,5.4140448570251465,-0.4701409339904785,-2.618237018585205,1.5040074586868286,-2.754760980606079,-1.451024293899536,4.528656005859375,3.1794021129608154,0.4452889263629913,0.4527050256729126,0.4272010326385498,0.4199950993061065,0.4314640462398529,0.430351972579956,0.4696286618709564,0.5820519924163818,0.5085216760635376,0.4742537140846252,0.4260644316673279,0.4267593920230865,10.051449879386508,10.03967346254673,11.311218403168008,16.24907190530319,17.838382817239214,17.057161137522993
Ondorhaan 8 [cough only].wav,breath,-360.1806030273437,92.08158111572266,-15.377089500427246,28.876420974731445,9.680237770080566,3.852111577987671,5.429886817932129,-0.4965060353279114,-5.6703267097473145,3.166432857513428,-10.933818817138672,4.8597822189331055,-1.150287389755249,0.5099285244941711,0.5104257464408875,0.5184828042984009,0.5246182084083557,0.5297539234161377,0.5682461857795715,0.635280191898346,0.6688528060913086,0.6616625785827637,0.6616511940956116,0.6231430768966675,0.5578981637954712,14.28474961068621,9.216979320217565,12.128152424569157,12.523374131256768,16.013122468857144,17.10958585830997
New Recording 17 [cough only].wav,breath,-522.797607421875,62.232566833496094,21.246973037719727,12.606167793273926,2.7491567134857178,3.463828563690185,-4.309324741363525,-10.113637924194336,-10.051982879638672,-7.559637546539307,-4.810192584991455,-2.188758850097656,-1.9392527341842647,0.5389335751533508,0.5217896103858948,0.4554528594017029,0.4227794706821441,0.4345771372318268,0.3896199464797973,0.4126496911048889,0.4952257871627807,0.4710153937339782,0.3828567266464233,0.3709211349487304,0.4622920453548431,10.963551718064757,9.875014566782514,13.30955583642042,14.137353976710347,16.77010816482498,15.589262786913508
New Recording 21 [cough only].wav,breath,-375.1055603027344,94.6424789428711,-14.918959617614746,16.517536163330078,10.360259056091309,20.64113044738769,-5.6664719581604,-2.373847484588623,1.2883862257003784,6.589115619659424,5.85031270980835,4.622844219207764,-0.0009617729810997,0.5956912040710449,0.5037025213241577,0.4170491099357605,0.3991070985794067,0.4273771643638611,0.4838502109050751,0.5005865693092346,0.5053220987319946,0.5864640474319458,0.6646542549133301,0.6993694305419922,0.691360592842102,16.89969705720869,9.90022402722894,11.673488598162448,13.904491374022234,16.379598390607573,19.15198312718601
New Recording 8 [cough only].wav,breath,-431.8547973632813,61.15866088867188,-3.185890913009644,23.182222366333008,-2.969719648361206,17.06387710571289,2.478601455688477,2.178288221359253,-1.5446957349777222,-0.5239996314048767,-7.842830181121826,-1.9427621364593504,0.114537164568901,0.5432162284851074,0.5117621421813965,0.5348545908927917,0.5676798224449158,0.6026176810264587,0.5670781135559082,0.5682599544525146,0.5213274359703064,0.491244226694107,0.5315735340118408,0.5871309638023376,0.590910792350769,10.976515280638557,9.14248543919029,12.79905796209152,13.496112852521009,16.833309762492743,16.326758015446664
